"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595387";"1";"12";"Casa";"Não divulgável";"300000,00";"24/08/2022";"13:41:55"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595387";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"28000,00";"24/08/2022";"13:41:55"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595389";"1";"12";"Casa";"Não divulgável";"150000,00";"24/08/2022";"13:41:55"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595392";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"11559,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595396";"1";"12";"Casa";"Não divulgável";"700000,00";"18/08/2022";"16:17:38"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595396";"2";"97";"VGBL - Vida Gerador de Benefício Livre";"Não divulgável";"6369,51";"18/08/2022";"16:17:38"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595398";"1";"12";"Casa";"Não divulgável";"500000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595399";"1";"12";"Casa";"Não divulgável";"237000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595399";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"15000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595400";"1";"12";"Casa";"Não divulgável";"150000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595404";"1";"12";"Casa";"Não divulgável";"70000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595404";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"30000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595404";"3";"99";"OUTROS BENS E DIREITOS";"Não divulgável";"50000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595535";"1";"18";"Loja";"Não divulgável";"28000,00";"28/08/2022";"13:46:37"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595535";"2";"32";"Quotas ou quinhões de capital";"Não divulgável";"100000,00";"28/08/2022";"13:46:37"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595537";"1";"12";"Casa";"Não divulgável";"56000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595538";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"40000,00";"25/08/2022";"13:51:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595539";"2";"11";"Apartamento";"Não divulgável";"600000,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595540";"1";"12";"Casa";"Não divulgável";"198680,49";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595541";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"42461,26";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001595541";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"40872,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001596672";"1";"32";"Quotas ou quinhões de capital";"Não divulgável";"250000,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001596674";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"10000,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001596678";"1";"12";"Casa";"Não divulgável";"200000,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001596678";"2";"13";"Terreno";"Não divulgável";"120000,00";"24/08/2022";"13:41:57"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001596683";"1";"12";"Casa";"Não divulgável";"1200000,00";"24/08/2022";"13:41:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600169";"1";"12";"Casa";"Não divulgável";"420000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600169";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"69000,00";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600171";"1";"49";"Outras aplicações e Investimentos";"Não divulgável";"4093933,04";"24/08/2022";"13:41:56"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"1";"13";"Terreno";"Não divulgável";"52313,58";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"2";"16";"Construção";"Não divulgável";"208327,24";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"3";"41";"Caderneta de poupança";"Não divulgável";"9622,21";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"5";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"29736,61";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"7";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"18989,39";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600173";"8";"79";"Outros fundos";"Não divulgável";"17645,14";"21/08/2022";"14:53:50"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600716";"1";"18";"Loja";"Não divulgável";"50000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600717";"1";"13";"Terreno";"Não divulgável";"75000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600718";"1";"11";"Apartamento";"Não divulgável";"150000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600718";"2";"12";"Casa";"Não divulgável";"150000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600718";"3";"12";"Casa";"Não divulgável";"400000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600718";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"240000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600718";"6";"23";"Embarcação";"Não divulgável";"12000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600719";"1";"12";"Casa";"Não divulgável";"800000,00";"16/08/2022";"14:46:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600719";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"75000,00";"16/08/2022";"14:46:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600720";"2";"39";"Outras participações societárias";"Não divulgável";"89000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600721";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"160000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600721";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"110000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600726";"2";"13";"Terreno";"Não divulgável";"36000,00";"24/08/2022";"13:42:01"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AP";"AP";"AMAPÁ";"30001600730";"1";"12";"Casa";"Não divulgável";"100000,00";"08/08/2022";"15:02:24"
