"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"1";"12";"Casa";"Não divulgável";"13065,55";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"2";"32";"Quotas ou quinhões de capital";"Não divulgável";"1000,00";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"3";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"11000,00";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"1";"11";"Apartamento";"Não divulgável";"250000,00";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"2";"39";"Outras participações societárias";"Não divulgável";"160000,00";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"10000,00";"24/08/2022";"13:52:59"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"132000,00";"29/08/2022";"07:29:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"2";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"7002,53";"29/08/2022";"07:29:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"3";"63";"Dinheiro em espécie - moeda nacional";"Não divulgável";"2500,00";"29/08/2022";"07:29:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601179";"1";"63";"Dinheiro em espécie - moeda nacional";"Não divulgável";"3000,00";"29/08/2022";"16:00:10"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601181";"1";"12";"Casa";"Não divulgável";"250000,00";"24/08/2022";"13:53:02"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601181";"2";"32";"Quotas ou quinhões de capital";"Não divulgável";"2000,00";"24/08/2022";"13:53:02"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"1";"13";"Terreno";"Não divulgável";"176310,60";"24/08/2022";"09:42:36"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"2";"32";"Quotas ou quinhões de capital";"Não divulgável";"5000,00";"24/08/2022";"09:42:36"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"3";"32";"Quotas ou quinhões de capital";"Não divulgável";"172200,00";"24/08/2022";"09:42:36"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"175,72";"24/08/2022";"09:42:36"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"78553,54";"24/08/2022";"09:42:36"
