"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"1";"11";"Apartamento";"Não divulgável";"52915,87";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"2";"12";"Casa";"Não divulgável";"471431,03";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"9641,40";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"387782,34";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"27512,21";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"6";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"133891,14";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"7";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"9783,46";"24/08/2022";"13:58:28"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"1";"13";"Terreno";"Não divulgável";"25000,00";"28/08/2022";"11:56:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"2";"13";"Terreno";"Não divulgável";"45000,00";"28/08/2022";"11:56:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"24573,00";"28/08/2022";"11:56:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"4";"49";"Outras aplicações e Investimentos";"Não divulgável";"12989,09";"28/08/2022";"11:56:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"5";"54";"Poupança para construção ou aquisição de bem imóvel";"Não divulgável";"15200,00";"28/08/2022";"11:56:58"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"24000,00";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"2";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"70000,00";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"221000,00";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"10805,04";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"2250,58";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"6";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"10307,62";"28/08/2022";"11:48:09"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595678";"7";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"3429,68";"28/08/2022";"11:48:09"
