"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593943";"1";"12";"Casa";"Não divulgável";"220000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593943";"2";"46";"Ouro, ativo financeiro";"Não divulgável";"49000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593944";"1";"12";"Casa";"Não divulgável";"150000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593944";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"12500,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593945";"1";"12";"Casa";"Não divulgável";"700000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593945";"2";"12";"Casa";"Não divulgável";"250000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593945";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"75000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593945";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"9330,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593945";"5";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"20700,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593946";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"12000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"1";"11";"Apartamento";"Não divulgável";"157000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"2";"11";"Apartamento";"Não divulgável";"157000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"46000,00";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"156069,75";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"1673535,06";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"6";"74";"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado";"Não divulgável";"1032791,81";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"7";"99";"OUTROS BENS E DIREITOS";"Não divulgável";"391843,58";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593947";"8";"99";"OUTROS BENS E DIREITOS";"Não divulgável";"1762,15";"24/08/2022";"14:11:07"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"1";"12";"Casa";"Não divulgável";"45696,82";"17/08/2022";"11:32:17"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"2";"13";"Terreno";"Não divulgável";"250000,00";"17/08/2022";"11:32:17"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"3";"39";"Outras participações societárias";"Não divulgável";"15000,00";"17/08/2022";"11:32:17"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"4";"49";"Outras aplicações e Investimentos";"Não divulgável";"3889,69";"17/08/2022";"11:32:17"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"5";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"6906,94";"17/08/2022";"11:32:17"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MT";"MT";"MATO GROSSO";"110001593948";"6";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"4300,20";"17/08/2022";"11:32:17"
