"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595279";"1";"12";"Casa";"Não divulgável";"1451000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595279";"2";"13";"Terreno";"Não divulgável";"382000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595279";"3";"19";"Outros bens imóveis";"Não divulgável";"30000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595279";"4";"59";"Outros créditos e poupança vinculados";"Não divulgável";"88031,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595279";"5";"59";"Outros créditos e poupança vinculados";"Não divulgável";"142611,15";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595280";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"25000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595281";"1";"12";"Casa";"Não divulgável";"1200000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595281";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"70000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595281";"3";"49";"Outras aplicações e Investimentos";"Não divulgável";"655,92";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"22000,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"2";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"22685,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"3";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"6384,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"4";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"1700,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"5";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"16640,72";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"6";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"12280,11";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"7";"24";"Bem relacionado com o exercício da atividade autônoma";"Não divulgável";"770,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"8";"32";"Quotas ou quinhões de capital";"Não divulgável";"29400,00";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"9";"32";"Quotas ou quinhões de capital";"Não divulgável";"13962,80";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"10";"41";"Caderneta de poupança";"Não divulgável";"2,55";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"11";"41";"Caderneta de poupança";"Não divulgável";"269,89";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"12";"41";"Caderneta de poupança";"Não divulgável";"818,34";"24/08/2022";"14:22:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RR";"RR";"RORAIMA";"230001595282";"13";"59";"Outros créditos e poupança vinculados";"Não divulgável";"9524,39";"24/08/2022";"14:22:32"
