"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"1";"11";"Apartamento";"Não divulgável";"580000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"2";"12";"Casa";"Não divulgável";"3500000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"155000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"75000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"5";"32";"Quotas ou quinhões de capital";"Não divulgável";"104500,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"6";"41";"Caderneta de poupança";"Não divulgável";"20000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"7";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Não divulgável";"50000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"8";"52";"Crédito decorrente de alienação";"Não divulgável";"150000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"9";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"100000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"10";"63";"Dinheiro em espécie - moeda nacional";"Não divulgável";"150000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597409";"11";"97";"VGBL - Vida Gerador de Benefício Livre";"Não divulgável";"60000,00";"24/08/2022";"14:24:32"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"1";"11";"Apartamento";"Não divulgável";"1000000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"2";"11";"Apartamento";"Não divulgável";"1200000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"3";"13";"Terreno";"Não divulgável";"100000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Não divulgável";"80000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"5";"32";"Quotas ou quinhões de capital";"Não divulgável";"120000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597410";"6";"61";"Depósito bancário em conta corrente no País";"Não divulgável";"25000,00";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597411";"1";"11";"Apartamento";"Não divulgável";"598039,58";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597411";"2";"13";"Terreno";"Não divulgável";"138000,20";"24/08/2022";"14:24:33"
"30/08/2022";"07:05:16";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SC";"SC";"SANTA CATARINA";"240001597411";"3";"13";"Terreno";"Não divulgável";"18000,00";"24/08/2022";"14:24:33"
