"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612362;1;"https://www.instagram.com/angela.stemler/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001605787;2;"https://www.facebook.com/paulosergiodasilvafalcao"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001605787;3;"https://www.instagran.com/paulosergiodasilvafalcao"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001605787;1;"https://twitter.com/PauloFa44830425"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653521;2;"https://drwanderley15678.com.br"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653521;4;"https://www.facebook.com/drjosewanderleyneto/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653521;3;"https://twitter.com/dr_wanderley"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653521;1;"https://www.instagram.com/dr_wanderley/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612371;1;"https://instagram.com/valmenia_santos?igshid=NWRhNmQxMjQ="
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612356;1;"https://www.instagram.com/marcosferreiraal/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612372;1;"https://instagram.com/maycon_resenheiro?igshid=NWRhNmQxMjQ="
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652525;2;"https://www.facebook.com/vereadorhenriquechicao/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652525;1;"https://www.instagram.com/henrique_chicao/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612366;1;"https://instagram.com/lelo.maia?igshid=NWRhNmQxMjQ="
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653527;2;"https://pt-br.facebook.com/duduronalsa"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653527;1;"https://www.instagram.com/duduronalsa/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612341;1;"https://www.instagram.com/fatima_ferreira_cruz/"
"05/09/2022";"18:38:02";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652449;1;"https://www.instagram.com/josanleite/"
