"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607041;4;"https://www.tiktok.com/@gatofelixlima21"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607041;2;"https://www.instagram.com/gatofelixlima21/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607041;3;"https://twitter.com/GatoFelixLima21"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607041;1;"https://www.facebook.com/silvafelixlima"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607103;1;"https://www.instagram.com/dany.gomesoficial/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610559;1;"https://www.instagram.com/_pedrolucasfernandes/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610559;5;"https://www.youtube.com/channel/UCsUWMjQjVYBEzzLOCHRw02Q"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610559;4;"https://twitter.com/depPedroLucasF?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610559;2;"https://www.facebook.com/search/top?q=pedro%20lucas%20fernandes"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610559;3;"https://www.pedrolucasfernandes.net.br/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001602008;1;"https://instagram.com/lenicialves"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607079;2;"https://www.facebook.com/marcoaurelioITZ"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607079;3;"https://www.votemarcoaurelio.com.br"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607079;1;"https://www.instagram.com/marcoaurelioitz/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607085;2;"https://instagram.com/fconagib?r=nametag"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607085;1;"https://www.facebook.com/francisconagib"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599542;1;"https://www.facebook.com/profile.php?id=100083664593288"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599542;2;"https://instagram.com/deputadacelida_ma?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607115;1;"https://www.instagram.com/juliocesarfonsecapinto/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001602262;1;"https://www.instagram.com/jucianemarques9/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001608206;1;"https://www.instagram.com/leandrosousama/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001608118;1;"https://www.instagram.com/joaobatistasegundo/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599595;1;"https://www.instagram.com/aleygnan/?igshid=YmMyMTA2M2Y%3D"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599595;2;"https://www.facebook.com/aleygnan.lealcosta"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599597;1;"https://instagram.com/baretamaia_?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001599602;1;"https://instagram.com/pacalidercomunitario?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607483;1;"https://www.facebook.com/marcello.soares.coronel"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001607483;2;"https://www.instagram.com/marcello_soares_coronel/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001608203;1;"https://www.instagram.com/francineide695/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001608128;1;"https://www.instagram.com/marcelobringell/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001602648;2;"https://www.facebook.com/renanwaynne"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001602648;3;"http://twitter.com/renanwaynne"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001602648;1;"https://instagram.com/renanwaynne?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610554;2;"https://facebook.com/kellyanecalvetbacabeira"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001610554;1;"https://www.instagram.com/kellyanecalvet/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001605314;5;"https://www.tiktok.com/@jkpcb21"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001605314;2;"https://www.facebook.com/josepereira.barbosa.543"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001605314;3;"https://www.instagram.com/jkpcb21/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001605314;4;"https://twitter.com/jkpcb21"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001605314;1;"https://www.facebook.com/jozepereirababosa.ze"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001606612;1;"https://www.instagram.com/felipe_chicao/"
"05/09/2022";"18:38:02";2022;"MA";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";100001620092;1;"https://instagram.com/mariodoturismo?igshid=YmMyMTA2M2Y="
