"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615237;2;"https://www.facebook.com/joaopaulo.alves.90475"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615237;1;"https://www.instagram.com/reel/CgukRdHlNOa/?igshid=MDJmNzVkMjY="
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615268;1;"https://www.facebook.com/cmmpyramides"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615268;3;"https://www.instagram.com/professor_pyramides"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615268;2;"https://www.instagram.com/nenhumdireito"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615281;4;"https://www.facebook.com/cidafalabellamg"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615281;1;"https://cidafalabella.com.br/"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615281;3;"https://www.instagram.com/cidafalabella/"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615281;2;"https://www.tiktok.com/@cidafalabella"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001607537;1;"http://instagram.com/adrianafigueiredo_1"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001607537;2;"http://facebook.com/adrianafigueiredo"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615236;3;"https://twitter.com/Alanrodriguesbh"
"05/09/2022";"18:38:02";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615236;4;"https://www.youtube.com/channel/UCA4bPmRmMW9IkMRucbSLK-A"
