"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001671307;2;"https://www.facebook.com/rebecaschartz"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001671307;1;"https://www.instagram.com/rebecaschawartz"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602816;2;"http://www.facebook.com/keliane.barros.524"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602816;1;"http://www.instagram.com/kelianebarros"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602826;1;"https://www.instagram.com/joaorizzo15678/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602826;4;"https://www.tiktok.com/@joaorizzo0"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602826;3;"https://www.tiktok.com/@joaorizzo15678/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602826;2;"https://www.facebook.com/joaobatista.britosousa"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001595295;1;"https://www.instagram.com/elielson_da_periferia"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001595295;2;"https://www.facebook.com/profile.php?id=100050680785364C"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602232;2;"https://www.facebook.com/giseledomingos1"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602232;1;"https://www.instagram.com/giseledomingoss/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602242;1;"https://www.instagram.com/janerson_do_prima_vera/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602242;2;"https://www.facebook.com/janersonbarbosa.barbosa"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001600085;1;"http://instagram.com/danquesbell"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001600130;1;"https://www.facebook.com/LucianoSobralOficial"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001600130;2;"https://www.instagram.com/lucianosobralrr/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001604267;2;"https://instagram.com/coronel_frazao?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001604267;1;"https://www.facebook.com/oquimar.frazao.3"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001604285;1;"https://instagram.com/gleycemotarr?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001604285;2;"https://www.facebook.com/Gleyce-Mota-109701541817948/"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602222;2;"https://www.facebook.com/profile.php?id=100073327518133"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602222;1;"https://instagram.com/msocorro_reis?igshid=YzAyZWRlMzg="
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602814;1;"http://instagram.com/paulinholinhares"
"05/09/2022";"18:38:02";2022;"RR";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";230001602814;2;"http://facebook.com.br/paulo.linhares.94"
