"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001635578;1;"https://www.instagram.com/invites/contact/?i=1l8t20jg0wox3&utm_content=3h8qzz"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001635578;2;"https://twitter.com/Sdney_Junior?t=f2g1zYEUayxbGPY01cm_UA&s=08"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600238;3;"https://www.instagram.com/hebertsomosmais/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600238;2;"https://www.coletivosomosmais.com.br/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600238;1;"https://www.instagram.com/coletivosomosmais/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001669096;1;"https://instagram.com/edivaldo.cfontes"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001711845;2;"https://www.facebook.com/cibele.braz.5"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001711845;1;"https://instagram.com/_cibelebraz?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001666587;1;"https://instagram.com/marciomacedopt"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001666587;2;"https://facebook.com/marciomacedo"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001635581;2;"https://www.facebook.com/silvio.monteiro"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001635581;1;"https://www.instagran.com/invites/contact/?i=1mdhskri3lee1&utm_contente=9mrnwo"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001636404;1;"https://www.instagram.com/danielzinhokaceteiro"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001632571;2;"https://instagram.com/jenniferbomfim80?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001632571;1;"https://instagram.com/unidadepopular.se?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001713566;2;"https://instagram.com/boscocostase?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001713566;1;"https://www.facebook.com/bosco.costa.14"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001644222;1;"http://www.lucioflaviose.com.br"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001619671;1;"https://www.suelyouro.com.br"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618218;1;"https://instagram.com/neto_coutinho_?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618218;2;"https://www.facebook.com/profile.php?id=100080523883239"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618218;3;"https://twitter.com/neto_coutinho"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001668632;1;"https://instagram.com/priscilaboaventurasv"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001668636;1;"https://www.instagram.com/giltondiniz/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001636665;1;"https://instagram.com/dimascorretor2022?igshid=NmNmNjAwNzg="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600752;4;"https://www.delegadadaniellegarcia190.com.br"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600752;2;"https://twitter.com/DelDaniGarcia"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600752;3;"https://www.facebook.com/deldanigarcia"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600752;1;"https://www.instagram.com/deldanigarcia/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600210;1;"https://www.instagram.com/valdilene.c.martins/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001646915;1;"https://www.instagram.com/cristianorcavalcante/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001712262;1;"https://instagram.com/netinhoguimaraes.se?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001633054;3;"https://www.tiktok.com/@lucianodemenininha?_t=8V4ZvLsTmdy&_r=1"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001633054;1;"https://instagram.com/lucianodemenininha?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001633054;2;"https://www.facebook.com/lucianodemenininha"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001600227;1;"https://www.instagram.com/sheyla_galba/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001669088;1;"https://instagram.com/agnaldomoral"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001669094;1;"http://exemple.com/iolandadeporfirio"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001646918;2;"https://www.facebook.com/JulianaTarantella/"
"05/09/2022";"18:38:02";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001646918;3;"https://www.tiktok.com/@julianatarantella?_t=8VKJFp6CBb3&_r=1"
