"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643552;1;"https://www.instagram.com/elissamagomes/"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643568;3;"https://www.facebook.com/kalene.cardoso.14"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643568;1;"https://www.tiktok.com/@kalenecardoso22555"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643568;2;"https://www.instagram.com/kalene_cristina/"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001713171;1;"https://www.soldadoalcivan.com.br/"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001697217;1;"https://www.instagram.com/p/CgnnOJMDMgt/?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643580;3;"https://www.youtube.com/channel/UC069hmnfZ0x9SEhhHWBneMw"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643580;1;"https://www.instagram.com/kreuscherconceicao/"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643580;4;"https://www.youtube.com/kreuscherconceicao"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643580;5;"https://www.facebook.com/kreuscherconceicao"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643580;2;"https://conceicaokreuscher.com.br/"
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001620124;1;"https://instagram.com/povodeluta?igshid=YmMyMTA2M2Y="
"05/09/2022";"18:38:02";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675933;1;"https://instagram.com/emiliocesar1?igshid=YmMyMTA2M2Y="
